,at_air_won,at_air_won_perc,at_att_combination,at_contr_att,at_corner,at_cross,at_drible,at_drible_suc,at_fouls,at_goals,at_id,at_key_passes,at_name,at_otbor,at_otbor_perc,at_own_goal,at_pass_long,at_pass_short,at_pass_vrazrez,at_passes_acc,at_passes_in_row_avg,at_penalty,at_possession,at_shot_blocked,at_shot_in_target,at_shot_miss,at_stand_pol,at_steal,at_touches,at_vinos,at_wc_rating_avg,ht_air_won,ht_air_won_perc,ht_att_combination,ht_contr_att,ht_corner,ht_cross,ht_drible,ht_drible_suc,ht_fouls,ht_goals,ht_id,ht_key_passes,ht_name,ht_otbor,ht_otbor_perc,ht_own_goal,ht_pass_long,ht_pass_short,ht_pass_vrazrez,ht_passes_acc,ht_passes_in_row_avg,ht_penalty,ht_possession,ht_shot_blocked,ht_shot_in_target,ht_shot_miss,ht_stand_pol,ht_steal,ht_touches,ht_vinos,ht_wc_rating_avg,link,match_date,match_id,season
0,7,0.47,16.0,0.0,3,13.0,7,64,15.0,2.0,87,12,Ювентус,13,59,1.0,60.0,641.0,4.0,89,7.0,0.0,67.9,6,6,8,4.0,6,875,16,6.6,8,0.53,12.0,0.0,4,21.0,9,64,13.0,1.0,144,12,Брешиа,11,61,0.0,59.0,261.0,1.0,74,4.0,0.0,32.1,3,3,10,4.0,16,512,13,6.6,https://ru.whoscored.com/Matches/1415733/MatchReport/%D0%98%D1%82%D0%B0%D0%BB%D0%B8%D1%8F-%D0%98%D1%82%D0%B0%D0%BB%D0%B8%D1%8F-1-2019-2020-%D0%91%D1%80%D0%B5%D1%88%D0%B8%D0%B0-%D0%AE%D0%B2%D0%B5%D0%BD%D1%82%D1%83%D1%81,2019-9-24,1415733,2019/2020
0,11,0.48,5.0,0.0,1,13.0,17,65,16.0,1.0,271,3,Сампдория,8,42,0.0,49.0,353.0,0.0,78,4.0,0.0,43.9,1,2,5,3.0,11,583,9,6.36,12,0.52,8.0,0.0,3,12.0,11,73,13.0,2.0,73,12,Фиорентина,18,51,0.0,47.0,464.0,7.0,85,6.0,0.0,56.1,3,8,6,9.0,8,701,14,6.86,https://ru.whoscored.com/Matches/1415734/MatchReport/%D0%98%D1%82%D0%B0%D0%BB%D0%B8%D1%8F-%D0%98%D1%82%D0%B0%D0%BB%D0%B8%D1%8F-1-2019-2020-%D0%A4%D0%B8%D0%BE%D1%80%D0%B5%D0%BD%D1%82%D0%B8%D0%BD%D0%B0-%D0%A1%D0%B0%D0%BC%D0%BF%D0%B4%D0%BE%D1%80%D0%B8%D1%8F,2019-9-25,1415734,2019/2020
0,29,0.6,12.0,1.0,4,11.0,9,60,11.0,0.0,71,16,Болонья,17,74,0.0,42.0,406.0,0.0,83,5.0,1.0,58.8,7,1,10,4.0,12,642,18,6.87,19,0.4,4.0,0.0,5,22.0,6,46,16.0,0.0,278,4,Дженоа,21,70,0.0,64.0,235.0,0.0,74,3.0,0.0,41.2,0,1,6,3.0,13,479,12,6.57,https://ru.whoscored.com/Matches/1415735/MatchReport/%D0%98%D1%82%D0%B0%D0%BB%D0%B8%D1%8F-%D0%98%D1%82%D0%B0%D0%BB%D0%B8%D1%8F-1-2019-2020-%D0%94%D0%B6%D0%B5%D0%BD%D0%BE%D0%B0-%D0%91%D0%BE%D0%BB%D0%BE%D0%BD%D1%8C%D1%8F,2019-9-25,1415735,2019/2020
0,28,0.55,8.0,0.0,6,17.0,5,83,20.0,0.0,86,9,Удинезе,21,75,0.0,67.0,318.0,1.0,71,3.0,0.0,44.5,3,3,5,3.0,4,563,24,6.73,23,0.45,8.0,0.0,6,26.0,7,37,5.0,0.0,76,9,Верона,10,67,0.0,67.0,413.0,0.0,79,4.0,0.0,55.5,3,4,6,5.0,12,695,18,6.8,https://ru.whoscored.com/Matches/1415736/MatchReport/%D0%98%D1%82%D0%B0%D0%BB%D0%B8%D1%8F-%D0%98%D1%82%D0%B0%D0%BB%D0%B8%D1%8F-1-2019-2020-%D0%92%D0%B5%D1%80%D0%BE%D0%BD%D0%B0-%D0%A3%D0%B4%D0%B8%D0%BD%D0%B5%D0%B7%D0%B5,2019-9-24,1415736,2019/2020
0,12,0.36,6.0,1.0,6,12.0,12,63,8.0,0.0,77,9,Лацио,17,68,0.0,43.0,329.0,2.0,80,4.0,0.0,35.5,4,4,2,3.0,16,575,27,6.59,21,0.64,13.0,0.0,4,20.0,8,62,10.0,1.0,75,12,Интер М,16,57,0.0,67.0,614.0,0.0,87,6.0,0.0,64.5,5,3,7,2.0,15,872,9,6.97,https://ru.whoscored.com/Matches/1415737/MatchReport/%D0%98%D1%82%D0%B0%D0%BB%D0%B8%D1%8F-%D0%98%D1%82%D0%B0%D0%BB%D0%B8%D1%8F-1-2019-2020-%D0%98%D0%BD%D1%82%D0%B5%D1%80-%D0%9C-%D0%9B%D0%B0%D1%86%D0%B8%D0%BE,2019-9-25,1415737,2019/2020
0,12,0.33,5.0,0.0,1,7.0,9,82,13.0,1.0,78,5,Кальяри,17,57,0.0,57.0,252.0,2.0,74,4.0,0.0,32.5,0,1,4,0.0,5,513,40,6.92,24,0.67,16.0,0.0,13,37.0,13,62,9.0,0.0,276,20,Наполи,14,61,0.0,42.0,576.0,1.0,87,6.0,0.0,67.5,13,5,12,14.0,10,831,7,6.63,https://ru.whoscored.com/Matches/1415738/MatchReport/%D0%98%D1%82%D0%B0%D0%BB%D0%B8%D1%8F-%D0%98%D1%82%D0%B0%D0%BB%D0%B8%D1%8F-1-2019-2020-%D0%9D%D0%B0%D0%BF%D0%BE%D0%BB%D0%B8-%D0%9A%D0%B0%D0%BB%D1%8C%D1%8F%D1%80%D0%B8,2019-9-25,1415738,2019/2020
0,6,0.27,9.0,1.0,4,17.0,15,60,10.0,0.0,2889,8,Сассуоло,24,71,0.0,48.0,581.0,2.0,86,6.0,0.0,69.7,5,3,4,2.0,13,844,7,6.63,16,0.73,6.0,3.0,5,12.0,10,63,20.0,1.0,24341,8,Parma Calcio 1913,26,63,1.0,65.0,208.0,0.0,69,3.0,1.0,30.3,1,5,4,0.0,20,476,18,6.89,https://ru.whoscored.com/Matches/1415739/MatchReport/%D0%98%D1%82%D0%B0%D0%BB%D0%B8%D1%8F-%D0%98%D1%82%D0%B0%D0%BB%D0%B8%D1%8F-1-2019-2020-Parma-Calcio-1913-%D0%A1%D0%B0%D1%81%D1%81%D1%83%D0%BE%D0%BB%D0%BE,2019-9-25,1415739,2019/2020
0,17,0.53,15.0,0.0,1,9.0,9,82,11.0,2.0,300,18,Аталанта,25,71,0.0,53.0,478.0,3.0,84,5.0,0.0,53.5,3,5,10,3.0,11,718,14,7.29,15,0.47,9.0,1.0,5,14.0,10,45,18.0,0.0,84,10,Рома,13,59,0.0,65.0,390.0,1.0,81,4.0,0.0,46.5,8,2,3,3.0,12,632,8,6.24,https://ru.whoscored.com/Matches/1415740/MatchReport/%D0%98%D1%82%D0%B0%D0%BB%D0%B8%D1%8F-%D0%98%D1%82%D0%B0%D0%BB%D0%B8%D1%8F-1-2019-2020-%D0%A0%D0%BE%D0%BC%D0%B0-%D0%90%D1%82%D0%B0%D0%BB%D0%B0%D0%BD%D1%82%D0%B0,2019-9-25,1415740,2019/2020
0,11,0.5,4.0,2.0,1,4.0,6,50,14.0,3.0,79,4,Лечче,20,71,0.0,55.0,295.0,0.0,82,5.0,2.0,41.5,0,4,4,0.0,7,526,27,6.85,11,0.5,13.0,0.0,10,40.0,8,47,15.0,1.0,1502,11,Спал,16,73,0.0,41.0,417.0,0.0,89,5.0,0.0,58.5,6,6,6,5.0,5,637,8,6.29,https://ru.whoscored.com/Matches/1415741/MatchReport/%D0%98%D1%82%D0%B0%D0%BB%D0%B8%D1%8F-%D0%98%D1%82%D0%B0%D0%BB%D0%B8%D1%8F-1-2019-2020-%D0%A1%D0%BF%D0%B0%D0%BB-%D0%9B%D0%B5%D1%87%D1%87%D0%B5,2019-9-25,1415741,2019/2020
0,10,0.37,10.0,2.0,5,16.0,11,61,20.0,1.0,80,11,Милан,11,52,0.0,53.0,385.0,0.0,81,4.0,1.0,54.4,1,4,11,3.0,7,622,17,6.36,17,0.63,8.0,0.0,3,23.0,10,83,14.0,2.0,72,9,Торино,15,58,0.0,72.0,287.0,0.0,78,4.0,0.0,45.6,0,4,5,1.0,18,564,23,6.82,https://ru.whoscored.com/Matches/1415742/MatchReport/%D0%98%D1%82%D0%B0%D0%BB%D0%B8%D1%8F-%D0%98%D1%82%D0%B0%D0%BB%D0%B8%D1%8F-1-2019-2020-%D0%A2%D0%BE%D1%80%D0%B8%D0%BD%D0%BE-%D0%9C%D0%B8%D0%BB%D0%B0%D0%BD,2019-9-26,1415742,2019/2020
